,file_text,topic
0,ABOUT FLEX,['flex']
1,"Flex is a leading sketch-to-scale™ solutions company that designs and builds intelligent products for a connected world. With more than 200,000 professionals across 30 countries and a promise to help make the world Live smarter™, the company provides innovative design, engineering, manufacturing, real-time supply chain insight and logistics services to companies of all sizes in various industries and end-markets. For more information, visit  or follow us on Twitter @Flex.",['company flex design world engineer']
2,PURPOSE,['purpose']
3,Citrix ECO Analysis and Bom Structuring,['citrix eco analysis bom structure']
4,SCOPE,['scope']
5, This activity is limited to ZALAEGERSZEG Site only.,['activity limit site zalaegerszeg']
6,This document will be accessed by both GBS Chennai and Pune,['document gbs access chennai pune']
7,DEFINITIONS and ABBREVIATIONS,['abbreviations definitions']
8, ECO-Engineering Change Order.,['change ecoengineering order']
9,CIF-Cost Impact Form,['cifcost form impact']
10,RESPONSIBILITY,['responsibility']
11, Team Lead.,['lead team']
12,TRAINING REQUIREMENTS,['requirements train']
13,Agile Training,['agile train']
14,ASSESSMENT OF CONFORMANCE METHOD,['assessment conformance method']
15, Through Internal Audit by Quality (QMS) team,['qms quality audit internal team']
16,RECORD RETENTION REQUIREMENT,['record requirement retention']
17,(Note: This section is Mandatory if this Policy/Process/or Procedure is related to or leads to the generation of records.),['section mandatory note record relate']
18,PROCEDURE,['procedure']
19,PROCESS FLOWCHART,['flowchart process']
20,8.2 Arena PLM Process Flow:,['arena flow plm process']
21,Arena PLM Steps:,['arena plm step']
22,Need to login the Arena Login with the credentials,['login credentials need arena']
23,Search for the Change Orders in Arena PLM using * in search box (Changes should be “All in process and processed changes”),['process change search order use']
24,Click on the Yesterday ECO’s,['click eco’s yesterday']
25,To check their modified status in the history,['check history modify status']
26,Analyse the yesterday ECO’s by copying to the Arena ECO xlsm file.,['eco copy file xlsm analyse']
27,You have to leave them in the 1st sheet (current) as reference. So you can work out the new ECO’s.,['sheet reference eco’s new current']
28,"When you finished the ECO analyse and process steps, you can copy the affected ECO from the 1st sheet to the second sheet (so the normal ECO tracker will be updated with the correct status)",['eco sheet st status step']
29,Edit the Description of Change and check the ECO’s in tracker (already added or not),['tracker change check edit not']
30,Check whether the ECO’s have any status Change,['eco’s status change check whether']
31,"Need to start update our Citrix tracker with ECO numbers and Description, when the ECO is Open and Unblocked Stage. And also will be added in the EMEA Tracker",['tracker eco update also add']
32,"If the Customer ECO has moved to Submitted for Routing, then customer has modified the ECO with the changes (we need to change the status in Tracker)",['eco customer change submit tracker']
33,"When the Customer ECO has moved to Submitted Status, we need to analyse the Changes and start creating the CIF and Approval ECO. GBS will receive the EMEA tracker notification with Status changed to submitted.",['change eco submit status emea']
34,"Analyse the description of change and cross verify with the items in Arena, sometimes the agile description might be wrong.",['description items verify sometimes might']
35,"When description of an item is getting changed in Arene, we have to change the description of the respective item along with it’s connected items in Agile. For example: If the description of CTX-8530045 is getting changed then the description of its connected items (CTX-8530045_NBCZ, CTX-8530045_PC etc) needs to be changed as well.",['description change items item connect']
36,"Update the latest description of change in the ECO tracker, even when the ECO is moved back from submitted status to open and unlocked status",['eco status update description open']
